team,matches,wins,win_rate
Crimea,5,3,0.6
Canary Islands,4,3,0.75
Republic of St. Pauli,4,1,0.25
Sark,4,0,0.0
Găgăuzia,3,0,0.0
Biafra,3,2,0.6666666666666666
South Yemen,3,0,0.0
Chechnya,3,0,0.0
Parishes of Jersey,3,2,0.6666666666666666
Franconia,3,2,0.6666666666666666
Hmong,3,1,0.3333333333333333
Aymara,2,0,0.0
Yoruba Nation,2,0,0.0
Ticino,2,0,0.0
Maule Sur,2,2,1.0
Mapuche,2,1,0.5
Marshall Islands,2,0,0.0
Niue,2,0,0.0
Délvidék,2,1,0.5
Palau,2,0,0.0
Madrid,1,0,0.0
West Papua,1,0,0.0
Elba Island,1,1,1.0
Ryūkyū,1,0,0.0
Cilento,1,0,0.0
Surrey,1,1,1.0
Seborga,1,0,0.0
Saugeais,1,0,0.0
